feature,mean_importance
Name_elizabeth,-0.004986158405938889
Name_mrs,-0.0012368835966828251
Ticket_pp,-0.0011490395579466072
Ticket_pc,-0.0008849166897868411
Name_edward,-0.00039206972131736737
Ticket_17755,-0.00031767633703443375
Name_henry,-0.0001504118082638839
Name_charles,-0.00013426913621467085
Name_williams,-0.00010847979515994366
Age,-0.00010685600062737555
Name_harry,-9.092964400606585e-05
Name_anna,-7.141187662179638e-05
Name_hugh,-6.732896979870784e-05
Name_dr,-1.1102230246251566e-17
Ticket_2627,-1.1102230246251566e-17
Ticket_29106,0.0
Name_fortune,0.0
Name_emily,0.0
Name_william,0.0
Name_thomas,0.0
Name_augusta,1.1102230246251566e-17
Name_leonard,1.1102230246251566e-17
Name_mary,1.1102230246251566e-17
Ticket_paris,1.1102230246251566e-17
Name_richard,1.1102230246251566e-17
Ticket_113572,1.1102230246251566e-17
Ticket_3474,1.1102230246251566e-17
Ticket_17421,1.1102230246251566e-17
Name_jr,1.1102230246251566e-17
Ticket_347054,1.1102230246251566e-17
Ticket_31921,1.1102230246251566e-17
Ticket_3101295,1.1102230246251566e-17
Ticket_347078,1.1102230246251566e-17
Ticket_o2,2.2204460492503132e-17
Ticket_line,2.2204460492503132e-17
Ticket_367226,2.2204460492503132e-17
Name_norman,2.2204460492503132e-17
Ticket_349227,2.2204460492503132e-17
Name_svensson,2.2204460492503132e-17
Ticket_349225,2.2204460492503132e-17
Name_panula,2.2204460492503132e-17
Name_percival,2.2204460492503132e-17
Ticket_347085,2.2204460492503132e-17
Name_peter,2.2204460492503132e-17
Ticket_345773,2.2204460492503132e-17
Name_skoog,2.2204460492503132e-17
Ticket_3101279,2.2204460492503132e-17
Ticket_349224,2.2204460492503132e-17
Ticket_349216,2.2204460492503132e-17
Ticket_113505,2.2204460492503132e-17
Ticket_33112,2.2204460492503132e-17
Ticket_347470,2.2204460492503132e-17
Ticket_349213,2.2204460492503132e-17
Ticket_349207,2.2204460492503132e-17
Ticket_19928,2.2204460492503132e-17
Ticket_349206,2.2204460492503132e-17
Ticket_248727,2.2204460492503132e-17
Ticket_349205,2.2204460492503132e-17
Ticket_250647,2.2204460492503132e-17
Ticket_348124,2.2204460492503132e-17
Name_kate,2.2204460492503132e-17
Ticket_347742,2.2204460492503132e-17
Ticket_349223,2.2204460492503132e-17
Ticket_5735,2.2204460492503132e-17
Name_sidney,2.2204460492503132e-17
Name_amy,2.2204460492503132e-17
Name_ernst,2.2204460492503132e-17
Name_elsie,2.2204460492503132e-17
Name_ellen,2.2204460492503132e-17
Name_frank,2.2204460492503132e-17
Name_joseph,2.2204460492503132e-17
Name_benjamin,2.2204460492503132e-17
Name_anne,2.2204460492503132e-17
Name_elisabeth,2.2204460492503132e-17
Ticket_2699,3.3306690738754695e-17
Ticket_2668,3.3306690738754695e-17
Ticket_2665,3.3306690738754695e-17
Ticket_2653,3.3306690738754695e-17
Ticket_250649,3.3306690738754695e-17
Name_edith,3.3306690738754695e-17
Name_juha,3.3306690738754695e-17
Name_david,3.3306690738754695e-17
Ticket_24160,3.3306690738754695e-17
Ticket_239853,3.3306690738754695e-17
Ticket_231919,3.3306690738754695e-17
Ticket_2144,3.3306690738754695e-17
Ticket_19950,3.3306690738754695e-17
Ticket_17760,3.3306690738754695e-17
Ticket_244367,3.3306690738754695e-17
Ticket_3101278,3.3306690738754695e-17
Name_collyer,3.3306690738754695e-17
Ticket_113806,3.3306690738754695e-17
Ticket_382652,3.3306690738754695e-17
Ticket_376564,3.3306690738754695e-17
Ticket_371110,3.3306690738754695e-17
Ticket_36973,3.3306690738754695e-17
Ticket_sc,3.3306690738754695e-17
Ticket_349909,3.3306690738754695e-17
