feature,shap_importance
Ticket_17608,18.937292190872114
Name_ryerson,5.6635789127919836
Name_mr,1.8625478914272342
Name_miss,1.616637564916226
Name_mrs,0.9121893330120974
Sex,0.5789311841135407
Name_master,0.39890436289911385
Name_john,0.25620375905378734
Name_william,0.22585840485029857
Name_patrick,0.21751690454301703
Name_charles,0.18098357162950376
Cabin,0.18081141380344481
SibSp,0.1759059748066615
Parch,0.1370447103671808
Name_henry,0.13576802344766645
Name_arthur,0.1346134082473566
Name_thomas,0.13177724369823984
Ticket_33112,0.13158830397559212
Name_frank,0.13115658300811484
Name_ellen,0.12972770277033116
Name_joseph,0.1281187721687844
Ticket_347077,0.12515708861763356
Name_emilio,0.12357962430144906
Ticket_ston,0.122684722585285
Name_walter,0.11990432788075493
Name_edward,0.11922279171238544
Name_george,0.10932930097309489
Name_robert,0.10455806414473609
Embarked,0.09809183130572438
Name_mary,0.0960717565608538
Name_daniel,0.09548137554271091
Name_howard,0.09438630374306785
Fare,0.09369370304976049
Age,0.09111558213435646
Name_davies,0.08711315847287053
Name_alexander,0.08608154022011234
Name_carl,0.08225253888952531
Name_jr,0.08117558538655953
Name_francis,0.07659916402037899
Name_karl,0.07488550721975507
Name_julius,0.0741010245277906
Name_herbert,0.07201898730821221
Name_maria,0.07037749833616735
Name_frances,0.07034089361810784
Ticket_pc,0.06760642519676302
Name_elizabeth,0.06600767516281933
Name_bridget,0.0635721851746813
Ticket_383123,0.06250999481991337
Name_louisa,0.05932800875453829
Name_james,0.058600383693146775
Pclass,0.058061177300308534
Name_harry,0.05754857042879743
Name_edgar,0.05491151034142018
Name_helene,0.052554781727239035
Name_catherine,0.05188757546695045
Name_samuel,0.05034061466673649
Name_franklin,0.049106919643005766
Name_caroline,0.04854306125824935
Name_edith,0.04566556880434034
Name_gilbert,0.04500998102521099
Name_abraham,0.04105372206459801
Name_nellie,0.04100575524828258
Name_albert,0.0403733894589252
Name_ralph,0.03901532256154944
Ticket_sc,0.038587819202316194
Name_rev,0.03726118370983542
Name_alfred,0.03715694311094654
Name_michael,0.03618729916764121
Ticket_315154,0.0359572196603179
Name_pokrnic,0.03552697195427495
Name_alice,0.034225775992118776
Name_johan,0.03354121908512166
Ticket_345768,0.0324790275104086
Name_david,0.031272414233853574
Ticket_113503,0.03006151649617447
Name_stehli,0.029468827358559498
Name_julia,0.02916325593438279
Ticket_369943,0.028906685961183277
Ticket_34644,0.028418883625492115
Name_louise,0.027878881630051013
Name_percy,0.027717879483170522
Name_ernst,0.026633604916095847
Ticket_soton,0.02639828265420603
Name_frederick,0.026311231094663642
Name_edwin,0.025929580488126918
Ticket_370374,0.024373906808938414
Name_kate,0.02351292037281641
Name_nils,0.023161790010557903
Ticket_220845,0.022718377749582908
Name_emma,0.022411271663549597
Name_helen,0.022220474943759
Ticket_ca,0.022126046549610777
Ticket_o2,0.021349642426398946
Ticket_6607,0.020941510639454052
Ticket_3701,0.020212503449908967
Ticket_315095,0.01946090645143289
Ticket_330844,0.019242891445049433
Name_samaan,0.01872170368405364
Ticket_2662,0.018721703682732238
Ticket_5734,0.01734888739233676
Name_herman,0.016579027981855017
Ticket_330971,0.016308793649841537
Ticket_315092,0.015923386902433632
Ticket_31416,0.015305194799305453
Name_johansson,0.014570195779542182
Ticket_345763,0.014486791611468737
Name_miller,0.011951733801835568
Name_lane,0.011613013963774675
Name_ida,0.010636329482103161
Ticket_345771,0.010511480708546895
Ticket_34651,0.008459086106962856
Ticket_368783,0.008423798975836906
Ticket_32302,0.007823896246763754
Ticket_345498,0.007477119171255965
Ticket_31029,0.006733389962541472
Ticket_330968,0.0063722687306320015
Ticket_347080,0.006349700624647313
Ticket_4133,0.006335566010402371
Ticket_16966,0.006106889789357452
Ticket_345572,0.005477118277435113
Ticket_oq,0.00391706000074371
Ticket_13534,0.0033460065712482352
Ticket_36928,0.0019031893563876401
Ticket_347072,0.001703053782113239
Name_douglas,0.001667629472260573
Name_peter,0.0012491217071310188
Name_giles,0.001160866176701766
Name_dunton,0.0010805121775545896
Ticket_14879,0.00080496665929925
Ticket_paris,0.0007572850433877495
Ticket_347467,0.0005307194076706988
Ticket_367226,0.0005271446937514834
Name_johannes,0.0004344917325553526
Ticket_28220,2.6357351145611527e-16
Ticket_2343,1.4725840766363257e-16
Name_drew,1.161618068490963e-16
Name_gibson,1.1146081566407563e-16
Name_sage,9.581519178700731e-17
Ticket_3101315,8.418404563373022e-17
Name_winifred,6.949006368903837e-17
Ticket_851,6.946017571461242e-17
Ticket_112378,6.324468490066588e-17
Ticket_33638,5.636970968613216e-17
Name_clifford,5.568203287242782e-17
Name_ivan,4.182876406111007e-17
Name_elin,4.1577434665563154e-17
Name_peacock,4.0253571970267156e-17
Name_col,3.4202173947792225e-17
Name_delia,2.778563487850886e-17
Ticket_230136,2.493943036503896e-17
Ticket_366713,2.302554290388951e-17
Name_spedden,2.2226230804662902e-17
Ticket_368402,2.220960277153548e-17
Ticket_7538,1.7087365509776052e-17
Ticket_392083,1.568077454635708e-17
Name_hannah,1.527993851332773e-17
Name_jennie,1.5158004302733317e-17
Name_florence,1.4858875247599407e-17
Ticket_347065,1.3585849421841201e-17
Ticket_347070,1.3231156119031189e-17
Ticket_371362,1.285473648291481e-17
Ticket_315153,1.2628251432685473e-17
Name_edvard,1.2473053860623394e-17
Ticket_347091,1.2304317805890074e-17
Name_ruth,1.130693591028896e-17
Ticket_330972,9.888366137336544e-18
Ticket_334914,9.849343242423582e-18
Ticket_31352,9.704450085308502e-18
Ticket_694,9.653596878933998e-18
Ticket_376566,9.108760259518037e-18
Ticket_ah,8.846896820620364e-18
Ticket_386525,8.068549451101255e-18
Ticket_2673,7.300178382614337e-18
Ticket_315087,6.6851703592342274e-18
Ticket_383162,6.508853552742712e-18
Ticket_342712,6.4676215099547225e-18
Ticket_335432,5.681608967551447e-18
Ticket_347090,5.579057520452428e-18
Ticket_37671,5.144296230760354e-18
Ticket_334915,4.93819642898283e-18
Ticket_365237,4.8643766929986685e-18
Ticket_330924,4.835081842050159e-18
Ticket_347079,4.682598995035336e-18
Ticket_315091,4.465943534353148e-18
Ticket_3130,4.39364453329143e-18
Ticket_370129,3.7966124777216724e-18
Ticket_33595,3.746943124138822e-18
Ticket_382650,3.661991260864327e-18
Ticket_345775,2.9760700892611952e-18
Ticket_7266,2.8847392910129288e-18
Ticket_3410,2.655746862584387e-18
Name_mahon,2.5481235943969194e-18
Ticket_315085,2.409644668933405e-18
Ticket_392095,2.211857527433592e-18
Ticket_342441,1.992381426535551e-18
Ticket_3470,1.515393413558445e-18
Ticket_aq,1.5001313715922568e-18
Ticket_342684,1.2961537775586717e-18
Ticket_315083,1.0661932127342545e-18
Ticket_330910,1.0515710275795153e-18
Ticket_347066,8.637987344600014e-19
Ticket_370371,6.223751479755392e-19
Ticket_347075,5.719785336944464e-19
Name_washington,7.502834261967458e-20
Name_dodge,7.502834233494143e-20
Ticket_36568,5.89610603363861e-20
Name_eliza,0.0
Name_van,0.0
